id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
3815,164242,3938000.0,New Cairo,3938000.0,3938000.0,2022-12-21 00:00:00,2022-12-22 00:00:00,2022-12-22 00:00:00,21,2.0,549.0,Primary,9.0,Apartment
3850,113285,3955131.0,Mostakbal City,3955131.0,3955131.0,2022-12-26 00:00:00,2023-01-10 00:00:00,2023-02-01 00:00:00,21,10.0,490.0,Primary,7.0,Apartment
3878,156774,3490000.0,Mostakbal City,,3490000.0,2022-12-27 00:00:00,,2022-12-27 00:00:00,21,10.0,202.0,Primary,9.0,Apartment
736,23187,3719450.0,New Cairo,,,2020-10-28 00:00:00,,2021-02-28 00:00:00,21,2.0,393.0,Primary,,Apartment
3783,163622,3081830.0,6th of October City,3100000.0,3081830.0,2022-12-28 00:00:00,,2022-12-28 00:00:00,21,1.0,254.0,Primary,8.0,Apartment
800,33201,2466000.0,New Cairo,,,2021-05-05 00:00:00,,2021-05-25 00:00:00,21,2.0,222.0,Primary,8.0,Apartment
2553,107075,2384000.0,Port Said,,,2022-06-26 00:00:00,,2022-07-06 00:00:00,21,13.0,606.0,Primary,,Apartment
3805,162168,5167866.0,New Cairo,5300000.0,5167866.0,2022-12-20 00:00:00,2022-12-21 00:00:00,2022-12-29 00:00:00,21,2.0,648.0,Primary,8.0,Apartment
2991,128025,4654000.0,New Cairo,4654000.0,,2022-09-04 00:00:00,,2022-09-04 00:00:00,21,2.0,148.0,Primary,,Apartment
10592,359135,8206000.0,6th of October City,,8206000.0,2023-12-03 00:00:00,,2023-12-07 00:00:00,21,1.0,64.0,Primary,7.0,Apartment
2376,19590,2550000.0,6th October,,,2022-05-26 00:00:00,,2022-06-22 00:00:00,21,1.0,422.0,Primary,,Apartment
9512,312325,7567000.0,New Cairo,11500000.0,,2023-11-06 00:00:00,,2023-11-06 00:00:00,21,2.0,868.0,Primary,8.0,Apartment
694,29841,2251618.0,New Cairo,,,2021-01-13 00:00:00,,,21,2.0,,,,Apartment
8124,270844,2901083.0,New Cairo,2932468.0,,2023-08-20 00:00:00,,2023-08-20 00:00:00,21,2.0,186.0,Primary,8.0,Apartment
